SUBJECT,GAME,AF3_Delta_Power,AF3_Theta_Power,AF3_Alpha_Power,AF3_Beta_Power,AF4_Delta_Power,AF4_Theta_Power,AF4_Alpha_Power,AF4_Beta_Power,F3_Delta_Power,F3_Theta_Power,F3_Alpha_Power,F3_Beta_Power,F4_Delta_Power,F4_Theta_Power,F4_Alpha_Power,F4_Beta_Power,F7_Delta_Power,F7_Theta_Power,F7_Alpha_Power,F7_Beta_Power,F8_Delta_Power,F8_Theta_Power,F8_Alpha_Power,F8_Beta_Power,FC5_Delta_Power,FC5_Theta_Power,FC5_Alpha_Power,FC5_Beta_Power,FC6_Delta_Power,FC6_Theta_Power,FC6_Alpha_Power,FC6_Beta_Power,O1_Delta_Power,O1_Theta_Power,O1_Alpha_Power,O1_Beta_Power,O2_Delta_Power,O2_Theta_Power,O2_Alpha_Power,O2_Beta_Power,P7_Delta_Power,P7_Theta_Power,P7_Alpha_Power,P7_Beta_Power,P8_Delta_Power,P8_Theta_Power,P8_Alpha_Power,P8_Beta_Power,T7_Delta_Power,T7_Theta_Power,T7_Alpha_Power,T7_Beta_Power,T8_Delta_Power,T8_Theta_Power,T8_Alpha_Power,T8_Beta_Power
1,1,0.2502014129246599,0.08533584555965618,0.0869077529017115,0.44266942581503166,0.2788505939804494,0.055870243665689115,0.0705050187540844,0.33702319710392553,0.37983149108199066,0.04458647399350603,0.04151080624927559,0.2523521083906007,0.221589546319142,0.05948084054343691,0.06206452785528844,0.3788644009843316,0.31587579385917575,0.022921319086961253,0.017280346474486716,0.09664936493592399,0.2622698466365213,0.0844708881978112,0.06706291803535223,0.4702434690175612,0.22487916678385375,0.053007558753494916,0.05173568740518322,0.3498966727912082,0.19329139423425495,0.09769562393533271,0.06843344202181947,0.5055251835227952,0.2653758240835253,0.04187267007250638,0.05323966488033965,0.2395580623829347,0.26837143886054693,0.08654132249056495,0.06600874878904081,0.35359126972767463,0.3703734220596828,0.05573368812441573,0.0412789617993747,0.24213801938222618,0.23848190844716094,0.06861611935654503,0.09355745787024175,0.36532041836292894,0.2552641674615846,0.04650969267484383,0.044929524885886196,0.34113707431515994,0.19583406975204032,0.09671414178176313,0.06976911510038565,0.42902823907644927
1,2,0.19849839537119823,0.08341994916932566,0.05673336475146787,0.3996409664943879,0.23991905820411116,0.08260564259815982,0.054297339523037336,0.3233077747210108,0.27944043029403925,0.060457217332930344,0.039670675955620766,0.2786856534104042,0.19534858428588353,0.04161818014349425,0.041032652688484925,0.44286731480016917,0.24831876144197837,0.07709384858535698,0.045531126370297034,0.4449399289866473,0.19846680012967222,0.08312508289337064,0.03836287787679544,0.5746996750319098,0.1624865471743022,0.050811599213176434,0.027395369171334588,0.4062727860516446,0.1560376856754497,0.05450587071261019,0.03636345003404065,0.5660000176846323,0.28202012366033324,0.039148218559056945,0.02706950648439089,0.25099180119253706,0.2417740147827525,0.07005025060193151,0.031092948535182775,0.3794554057157581,0.2965792717011537,0.03327627021282514,0.018093414252953424,0.22179494304216388,0.22481953634126675,0.05501141872078248,0.04289453281588941,0.37759653047935804,0.4024081288226248,0.029120204721772597,0.018220784948610756,0.17354560515671094,0.20476580287067603,0.08248123299874538,0.054538503755534894,0.49687173653388367
1,3,0.23913598263989996,0.07534444213820743,0.0712764585011721,0.3670646733215223,0.2129826612555769,0.08695026515505518,0.0755146010867469,0.3101417927408603,0.4741440826851599,0.053205953160745376,0.049871859217898946,0.22747447312073965,0.16652597509571399,0.03982018955815006,0.05182103497538269,0.4049623707464619,0.40387980405414364,0.02333052289428355,0.01433130700360216,0.1257723537522312,0.2587037441155585,0.07217949020032786,0.05661032883614425,0.48528359006810506,0.15972599065392162,0.047403267192040015,0.04226901983188123,0.43612597190282804,0.14008508303297124,0.05825682596513059,0.04464409028629576,0.5463346284483706,0.2542511736701265,0.03713043022315189,0.04016776245831166,0.22329396606890783,0.20180739430449463,0.07214252325768011,0.05848558662994714,0.40045854507972034,0.29113688191099757,0.02949381038288644,0.03502437741199859,0.24614898097032348,0.18663073378059425,0.04885725660282453,0.05036425090969735,0.4680145772185856,0.2565945847756861,0.058176828632183694,0.05380277529740916,0.20256123624999528,0.23112300312204556,0.08404358946664967,0.09260052826547573,0.35729803845045693
1,4,0.21480385754489917,0.06859519396931815,0.057781595315021105,0.2513938728254626,0.16664910976955793,0.08317619945916621,0.0682360905881477,0.3251607287313598,0.18243116918455113,0.05493061226629803,0.07403298229949253,0.2706543991965387,0.16261822514196397,0.05772829118892744,0.05124179798204331,0.3288129952731747,0.20031041360188204,0.08787844115830501,0.06116517000837382,0.3714897219960598,0.17121528808267156,0.07903704306216106,0.05999859233289663,0.5459713825655834,0.14776447733581188,0.05056335679872628,0.040641006498066325,0.38884350264752787,0.11888537908533796,0.059033985052687706,0.03905685924187515,0.6403774027341389,0.21934250343693706,0.03622699505535201,0.03993811223369804,0.2138147712227311,0.1746322429922204,0.09284890694424208,0.04248524176546663,0.39063746849849285,0.20730424504807407,0.04258998921003769,0.03350785549119713,0.2787869850784041,0.1546970649948894,0.05798644160856149,0.061235941004349946,0.49238006044372723,0.17299332864357414,0.05761600725185243,0.06422368277037603,0.19789790229255155,0.1654605036819666,0.06563839652911381,0.06543144083423326,0.22391435829062173
2,1,0.2519570710532281,0.14287789835014808,0.09927112929269545,0.47178992533449116,0.22034263236048154,0.12821631330948308,0.10559442428574486,0.4893555131099593,0.1953376582644411,0.15067265471531313,0.11712962619360376,0.4764372685799906,0.23175662855261053,0.13512875275651653,0.09390783474156576,0.4839343067862548,0.18153116771895417,0.11848792686024652,0.09625959401113797,0.550083396237623,0.29712773175861884,0.12434027146717504,0.091732803154505,0.39609906518935273,0.22598964105513272,0.15525272552885871,0.10168235177920652,0.4712861886231132,0.32005997367423655,0.135960300402469,0.08375296189238286,0.43233034731530084,0.2238260140111159,0.13908051589700723,0.10270259264353962,0.4752885086535179,0.28606201912466395,0.13783272103510674,0.08925940641102309,0.45471180868741845,0.19214363773783674,0.1174201418816774,0.07756120981265754,0.5416256031996789,0.3383277653562512,0.13250013196441385,0.08246337295677425,0.41970056932448707,0.17485125477486585,0.12661254754989879,0.09524852874889973,0.5645704336236886,0.27034671962598156,0.14112566405925014,0.09436375956477312,0.45977309653822307
2,2,0.25019281372429364,0.10143122733370649,0.05630483119832412,0.5645127299576974,0.16205116211087098,0.10828290846917824,0.07882248584319428,0.5954001247433015,0.14637237388905802,0.10821896009496923,0.07435273115663518,0.5989694768429037,0.2932899163889791,0.096678353907092,0.064057303571003,0.4262919642937424,0.16800280831314918,0.1123359593578137,0.07207556847605381,0.5860503434308059,0.3266233964103962,0.10886462013138343,0.05941228471796278,0.38793729702574964,0.20356806630376853,0.12584169047959481,0.08594344105771605,0.5197783387048662,0.3256480713694697,0.09246642695539714,0.04861829918695239,0.5096669714748671,0.2039598618593447,0.10073777764764605,0.09397143695960529,0.5016770388196932,0.3184414444786279,0.08648578057522005,0.04860671152020371,0.5206850258212514,0.2374801122288922,0.09188168854219682,0.05678426324228843,0.588698601493604,0.35143640845182317,0.08177572957536361,0.04628895942766917,0.4856079230432857,0.17357146425406042,0.12109327968548364,0.07281578966096801,0.5863579420645227,0.255641462406618,0.10809467095098234,0.04565543730268387,0.5661210137853125
2,3,0.1209376251122911,0.09603728778822217,0.049671457860578305,0.7047129876334319,0.15982687628068534,0.1160327358616176,0.07686448774786753,0.5854425657383538,0.21462192780404912,0.13687683295051595,0.07030035581986262,0.533482572254552,0.2384307142290853,0.10046714473949878,0.06957522566929744,0.44915409758469205,0.1966092487094137,0.12633463714379248,0.07380780018429248,0.5446582338754089,0.271212285533565,0.11713228033901771,0.06021197826461959,0.40158340374377316,0.22609497202555995,0.11619032339381136,0.0716926654274804,0.5003624794173703,0.19142615018873307,0.07227040411851535,0.05495615791599892,0.6519535665419138,0.26569427534107515,0.0767866655006583,0.07490977157132665,0.4260094943481329,0.20172891772642831,0.07290539862763377,0.058194837347204306,0.637713471749191,0.14205303331441876,0.08723756788520236,0.05739000306794224,0.6785320776786443,0.199342980742811,0.0708864238784029,0.05166837351643314,0.6366214724237924,0.2550461323338472,0.10354501535185673,0.05951219115653993,0.54245270006077,0.14766905772291478,0.09617049938326572,0.04593540066977626,0.6823281712167178
2,4,0.296094049602301,0.13593839480064562,0.05792931530915779,0.42190864979027637,0.24588663034707675,0.13122118293895024,0.07722122825240947,0.47442735142600095,0.13988890239112778,0.11750810155359606,0.1010045329767039,0.5467957097163172,0.4138854850487084,0.10459673787032552,0.04966941833630043,0.3076957477671419,0.13711223054379937,0.10273904915261348,0.0930324607932329,0.5972208334370608,0.41003561894804375,0.1151626851264344,0.050723781370607755,0.31135555702345474,0.27569859555791215,0.12117176236663625,0.07942330202540483,0.44970292925179833,0.3089630267594642,0.15175913427886356,0.05420448077035212,0.399678627113234,0.347337056881515,0.10277077115668176,0.06419153395092617,0.33485776939597567,0.31798195775922394,0.1583882854313179,0.054746412042481096,0.3866623286961252,0.22543163036625113,0.11064590228920476,0.06739381000912434,0.4934559750267447,0.3247558048038587,0.1460479468141959,0.05029123112862929,0.36868475788204425,0.30741331743260714,0.07895737376865886,0.06853571089280511,0.46049733870725806,0.2567952022861888,0.13119647074700053,0.05966383919008265,0.4438405119243373
3,1,0.28577441181126667,0.12357543982126934,0.16370948909099092,0.3432291784436561,0.25190936748983556,0.09218457186697099,0.11852729515579845,0.4708771727138107,0.28895558603175997,0.10121986826445492,0.10768484578064932,0.4224495349776056,0.16825108550519388,0.10587622655163655,0.1911984841604437,0.41762242588224446,0.21256113960209533,0.1241567070384529,0.11946711069748758,0.44926689768570444,0.4203003440629967,0.09334235848492578,0.06219924669388467,0.295473280375873,0.24229969042496302,0.11378359842041033,0.08613105104642418,0.4585060304463592,0.24114961727696116,0.12202348108020643,0.17120432978336847,0.383129648632749,0.26711226384459835,0.119533420175062,0.08799369639216459,0.41855759740437537,0.2506514519818225,0.12445085809549777,0.16772498796080987,0.375121057299776,0.27038059938794645,0.11360224297564359,0.08689250199463353,0.4198616321780495,0.39012166645888213,0.10491840804740313,0.06845079443357133,0.30006332162157434,0.20215526455960078,0.11808547526853765,0.15263281425852016,0.43132862719697135,0.19286047886051774,0.11635481076210782,0.12622648709641485,0.48495269678827746
3,2,0.33570997450874973,0.09154093588412103,0.06203115914261017,0.4384571046127313,0.17148021787316292,0.07408836557020415,0.06943069377198505,0.6096811991194004,0.25078896516517235,0.07359546163945735,0.06449763104516139,0.4922670133054195,0.12548752651508516,0.10147558810173068,0.07204407148527117,0.5953172707063727,0.2312719519391442,0.10085579701555501,0.08008902696573392,0.5126554005230402,0.43294552953572585,0.08936671855716007,0.044776124891563455,0.3384122326993998,0.2615041090622208,0.1122469911244203,0.08677547002945075,0.4404947225017519,0.2690156939779477,0.09273624810323014,0.06293548795379586,0.5031733810198088,0.3627215373992239,0.0959147233569631,0.07383776935080012,0.3702487077733395,0.27524618936855716,0.09315979225636245,0.06533652105146306,0.4922265646672498,0.2768501965928854,0.09975158513357477,0.06232156249958561,0.4163041044530624,0.4065938640740803,0.09778503742294822,0.048840405706553486,0.36195415079925264,0.2145469185305059,0.0910911118640422,0.07248704959391676,0.5334801691233773,0.20669952338155306,0.09522573715845002,0.06916274154375138,0.5385695447579738
