Index,Path,Subject,Valence,Arousal,Gender,Age,Satisfaction,Boring,Horrible,Calm,Funny
0,G1.pdf,S01,2,3,Female,24,8,1,3,2,
1,G2.pdf,S01,5,4,Female,24,7,2,1,8,8.0
2,G3.pdf,S01,2,9,Female,24,2,2,8,1,1.0
3,G4.pdf,S01,5,8,Female,24,8,1,1,3,9.0
4,G1.pdf,S02,1,1,Male,23,1,8,1,4,2.0
5,G2.pdf,S02,5,5,Male,23,5,2,1,7,6.0
6,G3.pdf,S02,1,9,Male,23,2,2,8,3,2.0
7,G4.pdf,S02,7,5,Male,23,8,2,2,7,9.0
8,G1.pdf,S03,1,2,Male,25,2,7,2,6,1.0
9,G2.pdf,S03,7,5,Male,25,8,1,1,8,8.0
10,G3.pdf,S03,2,9,Male,25,9,1,10,1,1.0
11,G4.pdf,S03,9,6,Male,25,9,1,1,3,9.0
12,G1.pdf,S04,2,4,Male,20,4,8,1,3,1.0
13,G2.pdf,S04,8,7,Male,20,7,3,1,9,6.0
14,G3.pdf,S04,3,9,Male,20,7,1,9,2,1.0
15,G4.pdf,S04,6,7,Male,20,8,1,1,3,9.0
16,G1.pdf,S05,3,3,Female,25,3,7,1,2,1.0
17,G2.pdf,S05,9,9,Female,25,8,2,1,5,7.0
18,G3.pdf,S05,1,9,Female,25,4,1,8,1,2.0
19,G4.pdf,S05,9,7,Female,25,7,2,1,3,8.0
20,G1.pdf,S06,2,3,Female,21,3,7,1,3,1.0
21,G2.pdf,S06,7,9,Female,21,7,1,1,7,3.0
22,G3.pdf,S06,4,5,Female,21,1,1,8,1,1.0
23,G4.pdf,S06,7,7,Female,21,7,1,1,8,8.0
24,G1.pdf,S07,3,1,Male,22,5,8,1,3,
25,G2.pdf,S07,7,6,Male,22,6,3,1,6,
26,G3.pdf,S07,5,7,Male,22,6,1,10,1,1.0
27,G4.pdf,S07,9,9,Male,22,8,1,1,1,10.0
28,G1.pdf,S08,2,1,Male,26,2,10,1,1,1.0
29,G2.pdf,S08,9,7,Male,26,8,3,1,8,8.0
30,G3.pdf,S08,1,1,Male,26,10,1,5,7,1.0
31,G4.pdf,S08,5,6,Male,26,8,1,1,6,6.0
32,G1.pdf,S09,5,5,Male,23,2,10,1,4,4.0
33,G2.pdf,S09,5,1,Male,23,8,1,1,8,6.0
34,G3.pdf,S09,3,7,Male,23,6,1,9,2,3.0
35,G4.pdf,S09,5,1,Male,23,8,1,1,8,8.0
36,G1.pdf,S10,5,5,Male,20,3,8,1,5,4.0
37,G2.pdf,S10,3,5,Male,20,3,1,1,7,2.0
38,G3.pdf,S10,3,7,Male,20,5,1,8,2,1.0
39,G4.pdf,S10,9,5,Male,20,8,1,1,5,10.0
40,G1.pdf,S11,5,1,Male,26,5,7,1,7,4.0
41,G2.pdf,S11,7,3,Male,26,8,1,1,8,6.0
42,G3.pdf,S11,3,4,Male,26,3,7,8,2,3.0
